Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.57656800126949,1.4382489970139545","{""coordinates"": [[1.438248997013954, 43.57656800126949]], ""type"": ""MultiPoint""}",BOULODROME EMPALOT,,31400,Toulouse Sud Est,5.3,oui,1,EXTERIEUR,Equipement isolé,ALL HENRI SELLIER,,,,,
"43.609686997239486,1.4377799980980643","{""coordinates"": [[1.437779998098064, 43.609686997239486]], ""type"": ""MultiPoint""}",BOULODROME QUETEURS,,31000,Toulouse Centre,1.1,,1,EXTERIEUR,Equipement isolé,5B Rue des Quêteurs,TOULOUSE,oui,oui,,
"43.647725998743375,1.4327219908158813","{""coordinates"": [[1.432721990815881, 43.647725998743375]], ""type"": ""MultiPoint""}",BOULODROME PAUL RICHE LALANDE,,31200,Toulouse Nord,3.2,oui,1,EXTERIEUR,Equipement isolé,PL PAUL RICHE,TOULOUSE,,,,
"43.625986999190374,1.4424890055981983","{""coordinates"": [[1.442489005598198, 43.625986999190374]], ""type"": ""MultiPoint""}",BOULODROME JACQUES BOUTRIT,,31200,Toulouse Nord,3.1,non,1,EXTERIEUR,Equipement isolé,6 IMP PIERRE CURIE,,oui,oui,,
"43.56264699951542,1.4139729953775675","{""coordinates"": [[1.413972995377567, 43.56264699951542]], ""type"": ""MultiPoint""}",BOULODROME  GIRONIS,COMPLEXE SPORTIF DE GIRONIS,31100,Toulouse Ouest,6.4,oui,2,COUVERT / EXTERIEUR,COMPLEXE SPORTIF GIRONIS,80 CHE DU CHAPITRE,,,,,
"43.58061543292057,1.401751073689455","{""coordinates"": [[1.401751073689455, 43.58061543292057]], ""type"": ""MultiPoint""}",BOULODROME LOU BOSC,COMPLEXE SPORTIF DU MIRAIL,31100,Toulouse Ouest,6.3,oui,1,,,,,,,,
"43.60106799587991,1.4280820014977251","{""coordinates"": [[1.428082001497725, 43.60106799587991]], ""type"": ""MultiPoint""}",BOULODROME BOURRASSOL,,31300,Toulouse Rive Gauche,2.1,oui,1,EXTERIEUR,Equipement isolé,Avenue du Château d'Eau,TOULOUSE,,,,
"43.58437400258837,1.4239420006280763","{""coordinates"": [[1.423942000628076, 43.58437400258837]], ""type"": ""MultiPoint""}",BOULODROME MAURICE BECANNE,,31300,Toulouse Rive Gauche,2.2,oui,1,EXTERIEUR,Equipement isolé,20 Rue François Ricardie,TOULOUSE,,,,
"43.623659006719066,1.4607960030498537","{""coordinates"": [[1.460796003049854, 43.623659006719066]], ""type"": ""MultiPoint""}",BOULODROME BONNEFOY SOB,,31500,Toulouse Est,4.1,non,2,TERRAINS EXTERIEURS / CLUB HOUSE,Equipement isolé,6 RUE DES ARCHIVES,TOULOUSE,oui,oui,,
"43.62500209037613,1.4344197712557354","{""coordinates"": [[1.434419771255735, 43.62500209037613]], ""type"": ""MultiPoint""}",BOULODROME MICHEL RAUZY,COMPLEXE SPORTIF DES MINIMES,31200,Toulouse Nord,3.1,non,1,EXTERIEUR,,152 Avenue des Minimes,TOULOUSE,oui,,,
"43.580138996172074,1.4619690005307584","{""coordinates"": [[1.461969000530758, 43.580138996172074]], ""type"": ""MultiPoint""}",BOULODROME SAOUZELONG - ARGENT R1,,31400,Toulouse Sud Est,5.2,oui,1,EXTERIEUR,Equipement isolé,27 RUE JEANNE MARVIG,,,,,
"43.60852699997908,1.4600100079646385","{""coordinates"": [[1.460010007964639, 43.60852699997908]], ""type"": ""MultiPoint""}",BOULODROME FRANCOIS CARBONNE,,31500,Toulouse Est,4.1,,2,1 COUVERT / 1 EXTERIEUR,Equipement isolé,2 Rue des Gongous,TOULOUSE,oui,oui,,
"43.639087287138565,1.4420119486267076","{""coordinates"": [[1.442011948626708, 43.639087287138565]], ""type"": ""MultiPoint""}",BOULODROME DES IZARDS,,31200,Toulouse Nord,3.3,,2,EXTERIEUR/COUVERT,,Rue des Chamois,TOULOUSE,oui,oui,,
"43.60347699391532,1.4557549970544346","{""coordinates"": [[1.455754997054435, 43.60347699391532]], ""type"": ""MultiPoint""}",BOULODROME SAINT-AUBIN,,31000,Toulouse Centre,1.3,oui,1,EXTERIEUR,Equipement isolé,Boulevard Jules Michelet,TOULOUSE,,,,
"43.621211998123776,1.4377460001579572","{""coordinates"": [[1.437746000157957, 43.621211998123776]], ""type"": ""MultiPoint""}",MAISON DE LA PETANQUE CLAUDETTE DUMONT,,31200,Toulouse Nord,3.1,,1,COUVERT,Equipement isolé,AVENUE FREDERIC ESTEBE,TOULOUSE,oui,oui,,
"43.62680399546433,1.471319001058738","{""coordinates"": [[1.471319001058738, 43.62680399546433]], ""type"": ""MultiPoint""}",BOULODROME WILLIAM ET CATHERINE BOOTH,,31500,Toulouse Est,4.2,oui,1,EXTERIEUR,COMPLEXE SPORTIF AMOUROUX,RUE WILL. ET CATH. BOOTH,,,,,
"43.58315200821947,1.4851569957781576","{""coordinates"": [[1.485156995778158, 43.58315200821947]], ""type"": ""MultiPoint""}",BOULODROME EMILIEN COLOMBIES,,31500,Toulouse Sud Est,5.1,,3,2 TERRAINS EXTERIEUR /  1 CLUB HOUSE,Equipement isolé,IMP EUGENE TRUTAT,,oui,oui,,
