Geo Point,Geo Shape,lib_voie,motdir,no,commune,insee,nb_places,coord_x,coord_y
"43.60426579483181,1.4503552442342407","{""coordinates"": [[1.450355244234241, 43.60426579483181]], ""type"": ""MultiPoint""}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),42,TOULOUSE,31555,8,1.450355,43.604266
"43.60056593248293,1.4522325798558644","{""coordinates"": [[1.452232579855864, 43.60056593248293]], ""type"": ""MultiPoint""}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),2,TOULOUSE,31555,6,1.452233,43.600566
"43.60437772104106,1.4503801030850378","{""coordinates"": [[1.450380103085038, 43.60437772104106]], ""type"": ""MultiPoint""}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),42,TOULOUSE,31555,6,1.45038,43.604378
"43.589540333845974,1.4560598914751628","{""coordinates"": [[1.456059891475163, 43.589540333845974]], ""type"": ""MultiPoint""}",ALL DES DEMOISELLES,DEMOISELLES (ALL DES DEMOISELLES),35,TOULOUSE,31555,8,1.45606,43.58954
"43.610886019697396,1.4525478835617236","{""coordinates"": [[1.452547883561724, 43.610886019697396]], ""type"": ""MultiPoint""}",BD DE BONREPOS,BONREPOS (BD DE BONREPOS),12,TOULOUSE,31555,16,1.452502,43.610837
"43.56477304209491,1.4104397112714744","{""coordinates"": [[1.410439711271474, 43.56477304209491]], ""type"": ""MultiPoint""}",PL DES GLIERES,GLIERES (PL DES GLIERES),,TOULOUSE,31555,4,1.41044,43.564773
"43.61094503434175,1.4297150099129814","{""coordinates"": [[1.429715009912981, 43.61094503434175]], ""type"": ""MultiPoint""}",PL ALFONSE JOURDAIN,JOURDAIN (PL ALFONSE JOURDAIN),1,TOULOUSE,31555,8,1.429715,43.610945
"43.74286542730362,1.3704505544800656","{""coordinates"": [[1.370450554480066, 43.74286542730362]], ""type"": ""MultiPoint""}",PL DE LA REPUBLIQUE,REPUBLIQUE - 0001 PL DE LA REPUBLIQUE,1,SAINT-JORY,31490,6,1.370451,43.742865
"43.58566363443307,1.448689618691836","{""coordinates"": [[1.448689618691836, 43.58566363443307]], ""type"": ""MultiPoint""}",RUE SAINT DENIS,DENIS (RUE SAINT DENIS),8,TOULOUSE,31555,16,1.44869,43.585664
"43.594179859815135,1.443890581702781","{""coordinates"": [[1.443890581702781, 43.594179859815135]], ""type"": ""MultiPoint""}",PL DU PARLEMENT,PARLEMENT (PL DU PARLEMENT),4,TOULOUSE,31555,8,1.443891,43.59418
"43.61265819104139,1.4304999400056209","{""coordinates"": [[1.430499940005621, 43.61265819104139]], ""type"": ""MultiPoint""}",RUE RITAY,RITAY (RUE RITAY),5,TOULOUSE,31555,8,1.4305,43.612658
"43.58475412015885,1.3441277207798827","{""coordinates"": [[1.344127720779883, 43.58475412015885]], ""type"": ""MultiPoint""}",BD VINCENT AURIOL,AURIOL (BD VINCENT AURIOL),,TOURNEFEUILLE,31557,6,1.344128,43.584754
"43.65754521209868,1.4833022300074585","{""coordinates"": [[1.483302230007459, 43.65754521209868]], ""type"": ""MultiPoint""}",AV DES PYRENEES,PYRENEES (AV DES PYRENEES),,L'UNION,31561,6,1.483302,43.657545
"43.601536090654626,1.4204130140833986","{""coordinates"": [[1.420413014083399, 43.601536090654626]], ""type"": ""MultiPoint""}",BD JEAN BRUNHES,BRUNHES (BD JEAN BRUNHES),37,TOULOUSE,31555,8,1.420413,43.601536
"43.59463957303578,1.4547028277886085","{""coordinates"": [[1.454702827788608, 43.59463957303578]], ""type"": ""MultiPoint""}",ALL DES SOUPIRS,SOUPIRS (ALL DES SOUPIRS),13,TOULOUSE,31555,6,1.454703,43.59464
"43.617672823153924,1.2814403911526882","{""coordinates"": [[1.281440391152688, 43.617672823153924]], ""type"": ""MultiPoint""}",RUE PRINCIPALE,PRINCIPALE (RUE PRINCIPALE),,PIBRAC,31417,6,1.28144,43.617673
"43.59776517790749,1.4297157754920604","{""coordinates"": [[1.42971577549206, 43.59776517790749]], ""type"": ""MultiPoint""}",PL JEAN DIEBOLD,DIEBOLD (PL JEAN DIEBOLD),11,TOULOUSE,31555,4,1.429716,43.597765
"43.59958187158772,1.4547532607591835","{""coordinates"": [[1.454753260759184, 43.59958187158772]], ""type"": ""MultiPoint""}",PL DOMINIQUE MARTIN DUPUY,DUPUY (PL DOMINIQUE MARTIN DUPUY),,TOULOUSE,31555,8,1.454753,43.599582
"43.59963925085763,1.4546379931869013","{""coordinates"": [[1.454637993186901, 43.59963925085763]], ""type"": ""MultiPoint""}",PL DOMINIQUE MARTIN DUPUY,DUPUY (PL DOMINIQUE MARTIN DUPUY),19,TOULOUSE,31555,8,1.454638,43.599639
