Geo Point,Geo Shape,nom_equipement,gestionnaire,telephone,site_web,acces_metro,acces_bus,x,y,numero,lib_off,id_secteur_postal,ville,secteur,quartier,jauge_salle_de_spectacle,oid
"43.599818569805116,1.447983074053986","{""coordinates"": [[1.447983074053986, 43.599818569805116]], ""type"": ""MultiPoint""}",ESPACE CROIX BARAGNON,Mairie de Toulouse - DGA Culture,05 62 27 60 60,www.cultures.toulouse.fr,"Esquirol (A), Carmes, François Verdier (B)","15, 16, 23, 38, 42, 44, 70, 71",1574696,2267792,24,RUE CROIX BARAGNON,31000,TOULOUSE,1,1.1,178 pl,317
"43.616852402226506,1.408357360161727","{""coordinates"": [[1.408357360161727, 43.616852402226506]], ""type"": ""MultiPoint""}",ESPACE JOB,Mairie de Toulouse - DGA Culture,05 34 43 24 91,www.cultures.toulouse.fr,,"16, 70",1571533,2269744,105,RTE DE BLAGNAC,31200,TOULOUSE,3,3.2,134 pl - 60m2 plateau,318
"43.57770544549503,1.404127261072394","{""coordinates"": [[1.404127261072394, 43.57770544549503]], ""type"": ""MultiPoint""}",LA FABRIQUE,Association,05 61 50 43 98,www.ciam-univ-toulouse2.fr,Mirail Université (A),14,1571109,2265402,5,ALL ANTONIO MACHADO,31100,TOULOUSE,6,6.3,180 pl,324
"43.63666306491459,1.442484436954948","{""coordinates"": [[1.442484436954948, 43.63666306491459]], ""type"": ""MultiPoint""}",SALLE ERNEST RENAN,Mairie de Toulouse - DGA Culture,05 61 57 99 28,,,,1574328,2271893,5,CHE D AUDIBERT,31200,TOULOUSE,3,3.3,230 pl,336
"43.62121698214286,1.408243520573767","{""coordinates"": [[1.408243520573767, 43.62121698214286]], ""type"": ""MultiPoint""}",SALLE NOUGARO - LAC,Structure commerciale,05 61 93 79 40,www.sallenougaro.com,,16,1571533,2270229,20,CHE DE GARRIC,31200,TOULOUSE,3,3.2,1500 / 400 pl,338
"43.62217526209782,1.405269205522639","{""coordinates"": [[1.405269205522639, 43.62217526209782]], ""type"": ""MultiPoint""}",THEATRE 2 L'ACTE - LE RING,Association,05 34 51 34 66,www.theatre2lacte.com,,"16, 70",1571295,2270340,151,RTE DE BLAGNAC,31200,TOULOUSE,3,3.2,113 pl,339
"43.63928342788406,1.455965741956404","{""coordinates"": [[1.455965741956404, 43.63928342788406]], ""type"": ""MultiPoint""}",THEATRE DE LA VIOLETTE,Association,05 61 73 18 51,www.theatredelaviolette.com,Borderouge (B),19,1575421,2272164,67,CHE PUJIBET,31200,TOULOUSE,3,3.3,46 pl,340
"43.62044315533216,1.454050862838722","{""coordinates"": [[1.454050862838722, 43.62044315533216]], ""type"": ""MultiPoint""}",THEATRE DE POCHE,Association,05 61 48 25 52,http://theatredepoche31.free.fr,SNCF (A),,1575228,2270074,10,RUE D EL ALAMEIN,31500,TOULOUSE,4,4.1,60 pl,341
"43.614731122279615,1.454381409671219","{""coordinates"": [[1.454381409671219, 43.614731122279615]], ""type"": ""MultiPoint""}",THEATRE DU HANGAR,Association,05 61 48 38 29,http://theatrelehangar.over-blog.fr,Marengo-SNCF (A),"38, 42, 44",1575243,2269439,11,RUE DES CHEMINOTS,31500,TOULOUSE,4,4.1,44 pl,345
"43.5809716983723,1.447619999214681","{""coordinates"": [[1.447619999214681, 43.5809716983723]], ""type"": ""MultiPoint""}",THEATRE DU PAVE,Association,05 62 26 43 66,www.theatredupave.org,"Empalot, Saint-Michel Marcel-Langer, Saint-Agne SNCF (B)",34,1574628,2265699,34,RUE MARAN,31400,TOULOUSE,5,5.3,208 pl,346
"43.594178149145655,1.448956340347501","{""coordinates"": [[1.448956340347501, 43.594178149145655]], ""type"": ""MultiPoint""}",THEATRE SORANO,Mairie de Toulouse - DGA Culture,05 81 91 79 19,www.sorano-julesjulien.toulouse.fr,"Carmes, Palais de Justice (B)","1, 2, 10, 29, 78, 80",1574763,2267164,35,ALL JULES GUESDE,31000,TOULOUSE,5,5.3,430 pl,353
"43.604078929691504,1.435461666133191","{""coordinates"": [[1.435461666133191, 43.604078929691504]], ""type"": ""MultiPoint""}",AUDITORIUM SAINT - PIERRE DES CUISINES,Mairie de Toulouse - DGA Culture,05 61 22 3105,www.conservatoire.mairie-toulouse.fr,"Capitole, Saint Cyprien République (A) - Compans- Caffarelli (B)","ncv, 1, 63",1573694,2268284,12,PL SAINT PIERRE,31000,TOULOUSE,1,1.1,402 pl,296
"43.60730817013732,1.443270669654115","{""coordinates"": [[1.443270669654115, 43.60730817013732]], ""type"": ""MultiPoint""}",CHAPELLE DES CARMELITES,Mairie de Toulouse - DGA Culture,05 61 21 27 60,www.toulouse.fr,"Capitole (A), Jeanne d'Arc (B)","ncv, 15, 16, 23, 29, 38, 42, 44, 45, 70",1574331,2268631,1,RUE DE PERIGORD,31000,TOULOUSE,1,1.1,180 pl,312
"43.60326351980178,1.438406176259181","{""coordinates"": [[1.438406176259181, 43.60326351980178]], ""type"": ""MultiPoint""}",CONSERVATOIRE A RAYONNEMENT REGIONAL (CRR) - ESPACE VARESE,Mairie de Toulouse - DGA Culture,05 61 22 28 61,www.conservatoirerayonnementregional.toulouse.fr,"Capitole, Esquirol (A)",ncv,1573930,2268189,17,RUE LARREY,31000,TOULOUSE,1,1.1,,315
"43.59978123867938,1.453929976310654","{""coordinates"": [[1.453929976310654, 43.59978123867938]], ""type"": ""MultiPoint""}",HALLE AUX GRAINS,Mairie de Toulouse - DGA Culture,05 61 63 13 13,onct.toulouse.fr/halle-aux-grains,"François Verdier, Carmes (B)","10, 16, 22, 27, 29, 78, 80",1575176,2267779,TOUT,PL DOMINIQUE MARTIN DUPUY,31000,TOULOUSE,1,1.3,2500 pl,321
"43.61168976085005,1.441077413885324","{""coordinates"": [[1.441077413885324, 43.61168976085005]], ""type"": ""MultiPoint""}",LA COMEDIE DE TOULOUSE,Structure commerciale,0899 19 91 91,www.lacomediedetoulouse.com,Jeanne d'Arc (B),"15, 16, 29, 45, 70",1574163,2269121,16,RUE SAINT GERMIER,31000,TOULOUSE,1,1.3,300 pl,323
"43.57413886921833,1.453662853498098","{""coordinates"": [[1.453662853498098, 43.57413886921833]], ""type"": ""MultiPoint""}",NOUVEAU THEATRE JULES JULIEN,Mairie de Toulouse - DGA Culture,05 81 91 79 19,www.sorano-julesjulien.toulouse.fr,"Saint Agne, Souazelong, Rangueil (B)",2,1575102,2264931,6,AV DES ECOLES JULES JULIEN,31400,TOULOUSE,5,5.2,345 pl,332
"43.6018630851688,1.441365536110863","{""coordinates"": [[1.441365536110863, 43.6018630851688]], ""type"": ""MultiPoint""}",PAVILLON MAZAR,Association,05 61 21 11 52,www.groupemerci.net,"Esquirol, Capitole (A)","ncv, 2, 10, 12, 14, 38, 78, 80",1574166,2268029,5,RUE DU PRIEURE,31000,TOULOUSE,1,1.1,50 pl,333
"43.58947388218926,1.479741797463106","{""coordinates"": [[1.479741797463106, 43.58947388218926]], ""type"": ""MultiPoint""}",SALLE DES FETES DE LIMAYRAC,Mairie de Toulouse - DGA Culture,05 61 54 23 60,http://www.val-de-limayrac.info/info-limayrac/activites-salle.php,,23,1577239,2266596,22,RUE XAVIER DARASSE,31500,TOULOUSE,4,4.3,,334
"43.561216893330645,1.463522235071123","{""coordinates"": [[1.463522235071123, 43.561216893330645]], ""type"": ""MultiPoint""}",SALLE DU CAP - PAUL SABATIER,Autre institution publique,05 61 55 62 63,www.univ-tlse3.fr,"Université Paul Sabatier (B), Faculté de Pharmacie (B)",,1575872,2263481,120,RTE DE NARBONNE,31400,TOULOUSE,5,5.2,729 pl,335
"43.59697453540599,1.429375979086446","{""coordinates"": [[1.429375979086446, 43.59697453540599]], ""type"": ""MultiPoint""}",THEATRE LE VENT DES SIGNES,Association,05 61 42 10 70,www.leventdessignes.com,Saint-Cyprien-République (A),"1, 3, 14, 45, 66",1573188,2267504,6,IMP VARSOVIE,31300,TOULOUSE,2,2.1,99 pl,350
"43.60400215736915,1.449809274098695","{""coordinates"": [[1.449809274098695, 43.60400215736915]], ""type"": ""MultiPoint""}",THEATRE NATIONAL DE TOULOUSE (TNT),Structure mixte,05 34 45 05 00,www.tnt-cite.com,"Jean-Jaurès (A, B)","ncv, 14, 16, 22, 29, 38",1574852,2268254,1,RUE PIERRE BAUDIS,31000,TOULOUSE,1,1.1,888 / 250 / 75 pl,352
"43.616367637400685,1.439495810586022","{""coordinates"": [[1.439495810586022, 43.616367637400685]], ""type"": ""MultiPoint""}",CAFE THEATRE LE 57,Structure commerciale,05 34 40 61 31,www.le57toulouse.com,Claude Nougaro (B),29,1574045,2269643,57,BD DES MINIMES,31200,TOULOUSE,3,3.1,120 pl,297
