Geo Point,Geo Shape,type_mobilier,commune,source
"43.60167171422725,1.4204494183432197","{""coordinates"": [[1.42044941834322, 43.60167171422725]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.59824647843097,1.4347070590063598","{""coordinates"": [[1.43470705900636, 43.59824647843097]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.611236524595796,1.4412713565834367","{""coordinates"": [[1.441271356583437, 43.611236524595796]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.61161864529277,1.439384859341213","{""coordinates"": [[1.439384859341213, 43.61161864529277]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.608830288878046,1.4468601888435781","{""coordinates"": [[1.446860188843578, 43.608830288878046]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.597255765571084,1.4442637914658525","{""coordinates"": [[1.444263791465852, 43.597255765571084]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.61165135109797,1.4447866125173932","{""coordinates"": [[1.444786612517393, 43.61165135109797]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.61338409606709,1.4464361590839052","{""coordinates"": [[1.446436159083905, 43.61338409606709]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.61274825773834,1.439756347371114","{""coordinates"": [[1.439756347371114, 43.61274825773834]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.613888998255696,1.44103975079626","{""coordinates"": [[1.44103975079626, 43.613888998255696]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.6059418678245,1.448589479426697","{""coordinates"": [[1.448589479426697, 43.6059418678245]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60771115583781,1.4512021637571568","{""coordinates"": [[1.451202163757157, 43.60771115583781]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60761315990438,1.4510566142593373","{""coordinates"": [[1.451056614259337, 43.60761315990438]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60640153226165,1.4497755905394272","{""coordinates"": [[1.449775590539427, 43.60640153226165]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60720099844703,1.4509223215446467","{""coordinates"": [[1.450922321544647, 43.60720099844703]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60532278771948,1.434120228505943","{""coordinates"": [[1.434120228505943, 43.60532278771948]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60503413955717,1.4564731696509563","{""coordinates"": [[1.456473169650956, 43.60503413955717]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.58640983179907,1.4509489986562445","{""coordinates"": [[1.450948998656244, 43.58640983179907]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.5782481953625,1.450390955359847","{""coordinates"": [[1.450390955359847, 43.5782481953625]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.58637841679038,1.4420168108557432","{""coordinates"": [[1.442016810855743, 43.58637841679038]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.579618238833085,1.4459001242302976","{""coordinates"": [[1.445900124230298, 43.579618238833085]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.58660308478707,1.4397584636500682","{""coordinates"": [[1.439758463650068, 43.58660308478707]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.591430297435735,1.4235764264625956","{""coordinates"": [[1.423576426462596, 43.591430297435735]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.59317666904116,1.4458386942811183","{""coordinates"": [[1.445838694281118, 43.59317666904116]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60214651345487,1.449308393027504","{""coordinates"": [[1.449308393027504, 43.60214651345487]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.595009006424704,1.4510023321107755","{""coordinates"": [[1.451002332110775, 43.595009006424704]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.596917544879474,1.446438150555386","{""coordinates"": [[1.446438150555386, 43.596917544879474]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.61370715068048,1.436543830090393","{""coordinates"": [[1.436543830090393, 43.61370715068048]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60846084619981,1.437369359273259","{""coordinates"": [[1.437369359273259, 43.60846084619981]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.5976923815584,1.4412604350680873","{""coordinates"": [[1.441260435068087, 43.5976923815584]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.59641528440394,1.4238684320514963","{""coordinates"": [[1.423868432051496, 43.59641528440394]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.61270901526254,1.4304851278156079","{""coordinates"": [[1.430485127815608, 43.61270901526254]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60778064528019,1.4406513035845583","{""coordinates"": [[1.440651303584558, 43.60778064528019]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60573829589623,1.4416716635602995","{""coordinates"": [[1.4416716635603, 43.60573829589623]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60142884300059,1.4421953899941395","{""coordinates"": [[1.44219538999414, 43.60142884300059]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60689110328283,1.4061742558561245","{""coordinates"": [[1.406174255856125, 43.60689110328283]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.604832969747044,1.4469832193602894","{""coordinates"": [[1.446983219360289, 43.604832969747044]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.578899839025304,1.4201699776640078","{""coordinates"": [[1.420169977664008, 43.578899839025304]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.59020097934826,1.4275994049314862","{""coordinates"": [[1.427599404931486, 43.59020097934826]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.58874976262759,1.4167241741201158","{""coordinates"": [[1.416724174120116, 43.58874976262759]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.5963534316923,1.4225607703364398","{""coordinates"": [[1.42256077033644, 43.5963534316923]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60473471785298,1.4178657220427326","{""coordinates"": [[1.417865722042733, 43.60473471785298]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.601073365635415,1.4346887556601517","{""coordinates"": [[1.434688755660152, 43.601073365635415]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.59745941362993,1.4313461628690707","{""coordinates"": [[1.431346162869071, 43.59745941362993]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60001937078047,1.449975173135006","{""coordinates"": [[1.449975173135006, 43.60001937078047]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.61058042609022,1.4231677054828507","{""coordinates"": [[1.423167705482851, 43.61058042609022]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.59145198530974,1.4184732642152618","{""coordinates"": [[1.418473264215262, 43.59145198530974]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.5822392950901,1.4278985396199155","{""coordinates"": [[1.427898539619916, 43.5822392950901]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
"43.60557419467843,1.4162001095312555","{""coordinates"": [[1.416200109531256, 43.60557419467843]], ""type"": ""MultiPoint""}",Distributeur pour déjections canines,Toulouse,pôles territoriaux
