Geo Point,Geo Shape,infobulle,nom,adresse,nb_jeux,id_aires_jeux,cloture
" 43.6357727557911,1.431981166264482","{""coordinates"": [[[[1.431922374280422, 43.63581660108291], [1.431941323335782, 43.635715429428544], [1.432044132673108, 43.63572961551104], [1.432015063157473, 43.63583248643487], [1.431922374280422, 43.63581660108291]]]], ""type"": ""MultiPolygon""}",FERDINAND FAURE PLACE FERDINAND FAURE 3 jeux,FERDINAND FAURE,PLACE FERDINAND FAURE,3,19,
" 43.61844703274581,1.4653021102180486","{""coordinates"": [[[[1.465310693959904, 43.61833675741168], [1.465162138410838, 43.618442614559115], [1.465302839246628, 43.618549565616505], [1.465436950624755, 43.618468191781076], [1.465310693959904, 43.61833675741168]]]], ""type"": ""MultiPolygon""}",PIERRE ROUS RUE DE PERIOLE 6 jeux,PIERRE ROUS,RUE DE PERIOLE,6,31,
" 43.62909480650654,1.4364370890431806","{""coordinates"": [[[[1.436648658710812, 43.62912957480792], [1.436484381317653, 43.62902425069643], [1.436260211668751, 43.6290560944679], [1.436334766773952, 43.629160205743915], [1.436648658710812, 43.62912957480792]]]], ""type"": ""MultiPolygon""}",LA SALADE  3 jeux,LA SALADE,,3,256,NON
" 43.61732863883213,1.4383912658093436","{""coordinates"": [[[[1.438428588748, 43.61740825398464], [1.438411976213231, 43.61724200887587], [1.438351324573878, 43.61724724823693], [1.438374999920118, 43.61742269009396], [1.438428588748, 43.61740825398464]]]], ""type"": ""MultiPolygon""}",GIESPER RUE CONDEAU 4 jeux,GIESPER,RUE CONDEAU,4,21,NON
" 43.63403178759612,1.435128587484673","{""coordinates"": [[[[1.435077013659234, 43.63413225385102], [1.43527047811783, 43.63399597553119], [1.435179009420989, 43.63393259528504], [1.434988141252594, 43.634065262669644], [1.435077013659234, 43.63413225385102]]]], ""type"": ""MultiPolygon""}",PARC DE LA VACHE RUE MARGUERITE DURAS 7 jeux,PARC DE LA VACHE,RUE MARGUERITE DURAS,7,43,
" 43.5604040709598,1.3970513062710805","{""coordinates"": [[[[1.396996572002543, 43.56050713756839], [1.397189928033604, 43.56041752629468], [1.397083939400954, 43.5602899473522], [1.396917390379699, 43.5604119166711], [1.396996572002543, 43.56050713756839]]]], ""type"": ""MultiPolygon""}",DOTTIN   MAGENTA CHEMIN LE TINTORET 3 jeux,DOTTIN   MAGENTA,CHEMIN LE TINTORET,3,50,
" 43.61322120533468,1.425964801843662","{""coordinates"": [[[[1.425891031157125, 43.613179287095036], [1.425954992479329, 43.6132834149681], [1.426062729425017, 43.61325106891314], [1.425994943158069, 43.613148716503225], [1.425891031157125, 43.613179287095036]]], [[[1.425806158973863, 43.613299834326625], [1.425835237886343, 43.613305154559015], [1.425846549130669, 43.61327156774418], [1.425817487326099, 43.6132651044481], [1.425806158973863, 43.613299834326625]]]], ""type"": ""MultiPolygon""}",BEARNAIS PLACE ROLAND GARROS 4 jeux,BEARNAIS,PLACE ROLAND GARROS,4,1,
" 43.5840228999972,1.4841425879596055","{""coordinates"": [[[[1.484060357357808, 43.58401511144297], [1.484136531448272, 43.584086472976104], [1.484224534264189, 43.584035539861404], [1.484148541542421, 43.58395687086854], [1.484060357357808, 43.58401511144297]]]], ""type"": ""MultiPolygon""}",SCHRADER IMPASSE FRANZ SCHRADER 1 jeux,SCHRADER,IMPASSE FRANZ SCHRADER,1,80,GRILLAGE RIGIDE
" 43.57306970280732,1.4621695445037182","{""coordinates"": [[[[1.462081296268107, 43.573012614381284], [1.46199989953043, 43.573081362561005], [1.462156640068862, 43.57316752253389], [1.462349455567597, 43.573088211956815], [1.462173857535388, 43.57296122736605], [1.462081296268107, 43.573012614381284]]]], ""type"": ""MultiPolygon""}",RANGUEIL AP 109 Avenue de Rangueil -  F 2 Rue René Duguay-T 6 jeux,RANGUEIL,AP 109 Avenue de Rangueil -  F 2 Rue René Duguay-T,6,113,NON
" 43.57212287913986,1.4034529915786453","{""coordinates"": [[[[1.403563575796606, 43.57225613723908], [1.403574588981709, 43.57199397362758], [1.403341113514801, 43.57199074718015], [1.403332206128961, 43.57225141845821], [1.403563575796606, 43.57225613723908]]]], ""type"": ""MultiPolygon""}",MAISON DE LA CITOYENNETE OUEST RUE GERMAINE PEYROLES 7 jeux,MAISON DE LA CITOYENNETE OUEST,RUE GERMAINE PEYROLES,7,271,NON
" 43.57396675851837,1.452838446175873","{""coordinates"": [[[[1.452745493478244, 43.57395453584422], [1.452869714680534, 43.57403163069757], [1.452929971927464, 43.573978621071824], [1.45280990320403, 43.57390232909098], [1.452745493478244, 43.57395453584422]]]], ""type"": ""MultiPolygon""}",JULES JULIEN THEATRE AVENUE DES ECOLES JULES JULIEN 1 jeux,JULES JULIEN THEATRE,AVENUE DES ECOLES JULES JULIEN,1,101,GRILLAGE RIGIDE
" 43.58966876735916,1.4912487266716155","{""coordinates"": [[[[1.491169333130467, 43.58955259005673], [1.491122879264617, 43.589753932221306], [1.491313152764957, 43.58978656505659], [1.491387142671521, 43.58959106469031], [1.491169333130467, 43.58955259005673]]]], ""type"": ""MultiPolygon""}",GRANDE PLAINE AVENUE JEAN GONORD 7 jeux,GRANDE PLAINE,AVENUE JEAN GONORD,7,98,NON
