Geo Point,Geo Shape,infobulle,nom,num_station,nb_bornettes,en_service,rue,mot_directeur,no,nrivoli,commune,code_insee,locations_2016
" 43.627195342971916,1.4656054339802924","{""coordinates"": [[1.465605433980292, 43.627195342971916]], ""type"": ""MultiPoint""}",185 - ROUBICHOU ARLES Nombre bornettes : 15 adresse : 30 RUE ROUBICHOU En service : oui,ROUBICHOU ARLES,185,15,oui,RUE ROUBICHOU,ROUBICHOU (RUE ROUBICHOU),30,3105557648,Toulouse,31555,1821
" 43.584576424898785,1.415706813175606","{""coordinates"": [[1.415706813175606, 43.584576424898785]], ""type"": ""MultiPoint""}",187 - DESBALS MONT DORE Nombre bornettes : 15 adresse : 187 RUE HENRI DESBALS En service : oui,DESBALS MONT DORE,187,15,oui,RUE HENRI DESBALS,DESBALS (RUE HENRI DESBALS),187,3105554140,Toulouse,31555,4897
" 43.594888484119785,1.4150828224224636","{""coordinates"": [[1.415082822422464, 43.594888484119785]], ""type"": ""MultiPoint""}",193 - LOMBEZ PETITE VITESSE Nombre bornettes : 20 adresse : 59 AV DE LOMBEZ En service : oui,LOMBEZ PETITE VITESSE,193,20,oui,AV DE LOMBEZ,LOMBEZ (AV DE LOMBEZ),59,3105555308,Toulouse,31555,12438
" 43.600301196856314,1.464048912851142","{""coordinates"": [[1.464048912851142, 43.600301196856314]], ""type"": ""MultiPoint""}",197 - CASERNE PERIGNON Nombre bornettes : 20 adresse : 6 AV LOUIS BLERIOT En service : oui,CASERNE PERIGNON,197,20,oui,AV LOUIS BLERIOT,BLERIOT (AV LOUIS BLERIOT),6,3105555360,Toulouse,31555,3279
" 43.579748887351386,1.4808318035081534","{""coordinates"": [[1.480831803508153, 43.579748887351386]], ""type"": ""MultiPoint""}",201 - POTEZ SAINT EXUPERY Nombre bornettes : 20 adresse : 256 AV ANTOINE DE ST EXUPERY En service : oui,POTEZ SAINT EXUPERY,201,20,oui,AV ANTOINE DE ST EXUPERY,EXUPERY (AV ANTOINE DE ST EXUPERY),256,3105557772,Toulouse,31555,4215
" 43.5895508466908,1.478886353524035","{""coordinates"": [[1.478886353524035, 43.5895508466908]], ""type"": ""MultiPoint""}",209 - BAROUX DARASSE Nombre bornettes : 17 adresse : 4 AV LUCIEN BAROUX En service : oui,BAROUX DARASSE,209,17,oui,AV LUCIEN BAROUX,BAROUX (AV LUCIEN BAROUX),4,3105555446,Toulouse,31555,476
" 43.61521779582369,1.4654589134527813","{""coordinates"": [[1.465458913452781, 43.61521779582369]], ""type"": ""MultiPoint""}",212 - CRETES CHAUMIERES Nombre bornettes : 17 adresse : 0 RUE DE LA CHAUMIERE En service : oui,CRETES CHAUMIERES,212,17,oui,RUE DE LA CHAUMIERE,CHAUMIERE (RUE DE LA CHAUMIERE),0,3105551989,Toulouse,31555,1189
" 43.61456569306593,1.4112108995674528","{""coordinates"": [[1.411210899567453, 43.61456569306593]], ""type"": ""MultiPoint""}",219 - PUCCINI BLAGNAC Nombre bornettes : 18 adresse : 35 RUE GIACOMO PUCCINI En service : oui,PUCCINI BLAGNAC,219,18,oui,RUE GIACOMO PUCCINI,PUCCINI (RUE GIACOMO PUCCINI),35,3105553888,Toulouse,31555,4778
" 43.56651946833641,1.4586636326797364","{""coordinates"": [[1.458663632679736, 43.56651946833641]], ""type"": ""MultiPoint""}",233 - NARBONNE SAHUQUE Nombre bornettes : 20 adresse : 105 RTE DE NARBONNE En service : oui,NARBONNE SAHUQUE,233,20,oui,RTE DE NARBONNE,NARBONNE (RTE DE NARBONNE),105,3105556196,Toulouse,31555,11124
" 43.56920620842971,1.45634916182147","{""coordinates"": [[1.45634916182147, 43.56920620842971]], ""type"": ""MultiPoint""}",232 - NARBONNE MIROUSE Nombre bornettes : 18 adresse : 64 RTE DE NARBONNE En service : oui,NARBONNE MIROUSE,232,18,oui,RTE DE NARBONNE,NARBONNE (RTE DE NARBONNE),64,3105556196,Toulouse,31555,11081
" 43.635787544187295,1.4438358337753594","{""coordinates"": [[1.443835833775359, 43.635787544187295]], ""type"": ""MultiPoint""}",244 - RENAN VITRY Nombre bornettes : 18 adresse : 93 RUE ERNEST RENAN En service : oui,RENAN VITRY,244,18,oui,RUE ERNEST RENAN,RENAN (RUE ERNEST RENAN),93,3105553044,Toulouse,31555,2773
" 43.5998396180337,1.4150986870106073","{""coordinates"": [[1.415098687010607, 43.5998396180337]], ""type"": ""MultiPoint""}",245 - GRANDE BRETAGNE BADIOU Nombre bornettes : 20 adresse : 103B AV DE GRANDE BRETAGNE En service : oui,GRANDE BRETAGNE BADIOU,245,20,oui,AV DE GRANDE BRETAGNE,BRETAGNE (AV DE GRANDE BRETAGNE),103B,3105553984,Toulouse,31555,7506
" 43.59399236686032,1.4102831820975668","{""coordinates"": [[1.410283182097567, 43.59399236686032]], ""type"": ""MultiPoint""}",194 - LOMBEZ HIPPODROME Nombre bornettes : 20 adresse : 93 AV DE LOMBEZ En service : oui,LOMBEZ HIPPODROME,194,20,oui,AV DE LOMBEZ,LOMBEZ (AV DE LOMBEZ),93,3105555308,Toulouse,31555,9812
" 43.62686082733758,1.4439969417350413","{""coordinates"": [[1.443996941735041, 43.62686082733758]], ""type"": ""MultiPoint""}",252 - NEGRENEYS Nombre bornettes : 20 adresse : 161 RUE DE NEGRENEYS En service : oui,NEGRENEYS,252,20,oui,RUE DE NEGRENEYS,NEGRENEYS (RUE DE NEGRENEYS),161,3105556236,Toulouse,31555,3271
" 43.618347630535766,1.4367155290784073","{""coordinates"": [[1.436715529078407, 43.618347630535766]], ""type"": ""MultiPoint""}",124 - MINIMES - SAINTE FAMILLE Nombre bornettes : 20 adresse : 22 AV DES MINIMES En service : oui,MINIMES - SAINTE FAMILLE,124,20,oui,AV DES MINIMES,MINIMES (AV DES MINIMES),22,3105555956,Toulouse,31555,22017
" 43.63543760328883,1.4728332149818273","{""coordinates"": [[1.472833214981827, 43.63543760328883]], ""type"": ""MultiPoint""}",272 - VASSEUR Nombre bornettes : 18 adresse :  RUE ANDRE VASSEUR En service : oui,VASSEUR,272,18,oui,RUE ANDRE VASSEUR,VASSEUR (RUE ANDRE VASSEUR),,,Toulouse,31555,3452
" 43.57693047504276,1.4400758196550865","{""coordinates"": [[1.440075819655086, 43.57693047504276]], ""type"": ""MultiPoint""}",255 - SELLIER Nombre bornettes : 0 adresse :  ALL HENRI SELLIER En service : oui,SELLIER,255,0,oui,ALL HENRI SELLIER,SELLIER (ALL HENRI SELLIER),,,Toulouse,31555,3378
" 43.57399072470807,1.4194803209119602","{""coordinates"": [[1.41948032091196, 43.57399072470807]], ""type"": ""MultiPoint""}",274 - GALLIENI Nombre bornettes : 0 adresse :  RTE DE SEYSSES En service : oui,GALLIENI,274,0,oui,RTE DE SEYSSES,SEYSSES (RTE DE SEYSSES),,,Toulouse,31555,4967
" 43.60850426213315,1.3971940640576161","{""coordinates"": [[1.397194064057616, 43.60850426213315]], ""type"": ""MultiPoint""}",268 - BAYLAC Nombre bornettes : 0 adresse :  AV DES ARENES ROMAINES En service : oui,BAYLAC,268,0,oui,AV DES ARENES ROMAINES,ROMAINES (AV DES ARENES ROMAINES),,3105550448,Toulouse,31555,4874
" 43.614199950942364,1.397067309333225","{""coordinates"": [[1.397067309333225, 43.614199950942364]], ""type"": ""MultiPoint""}",278 - ARÈNES ROMAINES Nombre bornettes : 0 adresse :  AV DES ARENES ROMAINES En service : oui,ARÈNES ROMAINES,278,0,oui,AV DES ARENES ROMAINES,ROMAINES (AV DES ARENES ROMAINES),,3105550448,Toulouse,31555,3942
" 43.61933131251202,1.3969881689033063","{""coordinates"": [[1.396988168903306, 43.61933131251202]], ""type"": ""MultiPoint""}",271 - ANCELY Nombre bornettes : 0 adresse : 110 AV DES ARENES ROMAINES En service : oui,ANCELY,271,0,oui,AV DES ARENES ROMAINES,ROMAINES (AV DES ARENES ROMAINES),110,3105550448,Toulouse,31555,3887
