Geo Point,Geo Shape,infobulle,site,annee_installation,zone_emission,disponibilite,adresse,commune
" 43.5942861072575,1.4488611108638858","{""coordinates"": [[1.448861110863886, 43.5942861072575]], ""type"": ""MultiPoint""}",Site Jules Guesdes 2 Adresse : Allees Jules Guesde Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Jules Guesdes 2,2016,extérieur,24h/24h (avec garantie de service),Allees Jules Guesde,TOULOUSE
" 43.599905556575344,1.4542527787525117","{""coordinates"": [[1.454252778752512, 43.599905556575344]], ""type"": ""MultiPoint""}",Site Halle aux grains Adresse : place Dupuy Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Halle aux grains,2016,intérieur bâtiment,24h/24h (sans garantie de service),place Dupuy,TOULOUSE
" 43.64146943797204,1.4505611040250797","{""coordinates"": [[1.45056110402508, 43.64146943797204]], ""type"": ""MultiPoint""}",Site Métronum Adresse : RPT MADAME DE MONDONVILLE Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Métronum,2015,intérieur bâtiment,24h/24h (sans garantie de service),RPT MADAME DE MONDONVILLE,TOULOUSE
" 43.59456388673078,1.4507694413589298","{""coordinates"": [[1.45076944135893, 43.59456388673078]], ""type"": ""MultiPoint""}",Site Quai des savoirs Adresse : 39 allées Jules Guesdes Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Quai des savoirs,2016,intérieur bâtiment,24h/24h (sans garantie de service),39 allées Jules Guesdes,TOULOUSE
" 43.60373611292285,1.4399666706535599","{""coordinates"": [[1.43996667065356, 43.60373611292285]], ""type"": ""MultiPoint""}",Site Musée des Jacobins Adresse : 18 pl des JACOBINS Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Musée des Jacobins,2016,intérieur bâtiment,24h/24h (sans garantie de service),18 pl des JACOBINS,TOULOUSE
" 43.611188890359024,1.456102779576243","{""coordinates"": [[1.456102779576243, 43.611188890359024]], ""type"": ""MultiPoint""}",Site Marengo Boulevard Adresse : 6 Rue René Leduc Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Marengo Boulevard,2015,intérieur bâtiment,24h/24h (sans garantie de service),6 Rue René Leduc,TOULOUSE
" 43.60617777429301,1.4440944442857973","{""coordinates"": [[1.444094444285797, 43.60617777429301]], ""type"": ""MultiPoint""}",Site salle du Sénéchal - Rémusat Adresse : 17 rue de Rémusat Année installation : 2014 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),salle du Sénéchal - Rémusat,2014,intérieur bâtiment,24h/24h (sans garantie de service),17 rue de Rémusat,TOULOUSE
" 43.57415277981031,1.4532027852648965","{""coordinates"": [[1.453202785264897, 43.57415277981031]], ""type"": ""MultiPoint""}",Site Théatre Jules Juilen Adresse : 6 Avenue des Ecoles Jules JULIEN Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Théatre Jules Juilen,2015,intérieur bâtiment,24h/24h (sans garantie de service),6 Avenue des Ecoles Jules JULIEN,TOULOUSE
" 43.608535998989595,1.4458189939309163","{""coordinates"": [[1.445818993930916, 43.608535998989595]], ""type"": ""MultiPoint""}",Site Jeanne d'Arc Adresse : 17 place Jeanne D'Arc Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Jeanne d'Arc,2017,extérieur,24h/24h (avec garantie de service),17 place Jeanne D'Arc,TOULOUSE
" 43.60565600062619,1.4485419999402473","{""coordinates"": [[1.448541999940247, 43.60565600062619]], ""type"": ""MultiPoint""}","Site Jaurès 1  Adresse :   Allée du Pdt F, Roosevelt Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service)",Jaurès 1,2017,extérieur,24h/24h (avec garantie de service),"Allée du Pdt F, Roosevelt",TOULOUSE
