Geo Point,Opérateur de Mobilité,Aménageur,id_borne,nom_borne,numero_rue,libelle_voie,commune,code_postal,code_insee,marque_borne,modele_borne,type_chargement,date_mise_en_service,id_prise,puissance_prise,connecteur_disponible_prise,longitude,latitude,geolocalisation,numero_prise
"43.60853099843691,1.3830329995492034",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-017,TOULOUSE- Route De Bayonne,119,Route De Bayonne,Toulouse,31300,31555,CAHORS,City 2,normal,,FR*M31*E31555*017*1,22,"EF,T2,T3",1.383033,43.608531,"43.608531,1.383033",1
"43.64744799635721,1.432755539860385",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-019,TOULOUSE - Place Paul Riché,,Place Paul Riché,Toulouse,31200,31555,CAHORS,City 2,normal,,FR*M31*E31555*019*1,22,"EF,T2,T3",1.432756,43.64743,"43.64743,1.432756",1
"43.61819499852564,1.4666839961765323",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-020,TOULOUSE - Av. Yves Brunaud,88,Av. Yves Brunaud,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*020*1,22,"EF,T2,T3",1.466684,43.618195,"43.618195,1.466684",1
"43.60095000097641,1.4620890042334538",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-023,TOULOUSE - Av. Camille Pujol,52,Av. Camille Pujol,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*023*2,22,"EF,T2,T3",1.462089,43.60095,"43.60095,1.462089",2
"43.58345899563499,1.3466445135372334",Révéo,Toulouse Metropole,STATION-FR-M31-P31557-001,TOURNEFEUILLE - Impasse Max Baylac,,Impasse Max Baylac,Tournefeuille,31170,31557,CAHORS,City 2,normal,,FR*M31*E31557*001*1,22,"EF,T2,T3",1.346645,43.583441,"43.583441,1.346645",1
"43.5834409973785,1.3466450008769524",Révéo,Toulouse Metropole,STATION-FR-M31-P31557-001,TOURNEFEUILLE - Impasse Max Baylac,,Impasse Max Baylac,Tournefeuille,31170,31557,CAHORS,City 2,normal,,FR*M31*E31557*001*2,22,"EF,T2,T3",1.346645,43.583441,"43.583441,1.346645",2
"43.65579200401066,1.4814140013476016",Révéo,Toulouse Metropole,STATION-FR-M31-P31561-001,L'UNION - Rue Du Somport Parking Grande Halle,,Rue Du Somport Parking Grande Halle,L'Union,31240,31561,CAHORS,City 2,normal,,FR*M31*E31561*001*1,22,"EF,T2,T3",1.481414,43.655792,"43.655792,1.481414",1
"43.62378371897092,1.4970627658956823",Révéo,Toulouse Metropole,STATION-FR-M31-P31044-002,BALMA-GRAMONT - Av. Georges Pompidou,,Av. Georges Pompidou,Balma,31130,31044,CAHORS,City 2,normal,,FR*M31*E31044*002*2,22,"EF,T2,T3",1.497084,43.623793,"43.623793,1.497084",2
"43.6684139952416,1.378404002988347",Révéo,Toulouse Metropole,STATION-FR-M31-P31056-001,BEAUZELLE - Rue Des Pins,,Rue Des Pins,Beauzelle,31700,31056,CAHORS,City 2,normal,,FR*M31*E31056*001*2,22,"EF,T2,T3",1.378404,43.668414,"43.668414,1.378404",2
"43.616333998611374,1.2427479981914848",Révéo,Toulouse Metropole,STATION-FR-M31-P31088-001,BRAX - Place Du Vidalet,,Place Du Vidalet,Brax,31490,31088,CAHORS,City 2,normal,,FR*M31*E31088*001*2,22,"EF,T2,T3",1.242748,43.616334,"43.616334,1.242748",2
"43.53762699263019,1.3448115214693197",Révéo,Toulouse Metropole,STATION-FR-M31-P31157-001,CUGNAUX - Av De Toulouse,6,Av De Toulouse,Cugnaux,31270,31157,CAHORS,City 2,normal,,FR*M31*E31157*001*1,22,"EF,T2,T3",1.344812,43.537609,"43.537609,1.344812",1
"43.742665994287826,1.370327514826854",Révéo,Toulouse Metropole,STATION-FR-M31-P31490-001,ST JORY - Place De La République,,Place De La République,Saint-Jory,31790,31490,CAHORS,City 2,normal,,FR*M31*E31490*001*1,22,"EF,T2,T3",1.370328,43.742648,"43.742648,1.370328",1
"43.550374999119164,1.537737566741756",Révéo,Toulouse Metropole,STATION-FR-M31-P31506-001,SAINT ORENS - Rue Des Muriers,4,Rue Des Muriers,Saint-Orens-de-Gameville,31650,31506,CAHORS,City 2,normal,,FR*M31*E31506*001*2,22,"EF,T2,T3",1.537738,43.550357,"43.550357,1.537738",2
"43.61011100071219,1.456443994772589",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-001,TOULOUSE - Marengo,2,Boulevard De Marengo,Toulouse,31500,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*001*7,36,COMBO,1.456444,43.610111,"43.610111,1.456444",7
"43.56442141229205,1.4896309763818658",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*1,36,T2,1.489650607,43.56441044,"43.5644104437,1.4896506071",1
"43.5644104430226,1.4896506101418612",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*6,50,CHADEMO,1.489650607,43.56441044,"43.5644104437,1.4896506071",6
"43.564394085510905,1.4896402686580648",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*7,50,COMBO,1.489650607,43.56441044,"43.5644104437,1.4896506071",7
"43.56440612271664,1.4896265757166902",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*8,4,EF,1.489650607,43.56441044,"43.5644104437,1.4896506071",8
"43.60686271867533,1.45093177391106",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-010,TOULOUSE  - Jean Jaures,50,Jean Jaures,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*010*1,22,"EF,T2,T3",1.450953,43.606872,"43.606872,1.450953",1
"43.60689000391201,1.4509525389336344",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-010,TOULOUSE  - Jean Jaures,50,Jean Jaures,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*010*3,22,"EF,T2,T3",1.450953,43.606872,"43.606872,1.450953",3
"43.647429998165045,1.4327560023057806",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-019,TOULOUSE - Place Paul Riché,,Place Paul Riché,Toulouse,31200,31555,CAHORS,City 2,normal,,FR*M31*E31555*019*2,22,"EF,T2,T3",1.432756,43.64743,"43.64743,1.432756",2
"43.618212997045745,1.4666835439578356",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-020,TOULOUSE - Av. Yves Brunaud,88,Av. Yves Brunaud,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*020*2,22,"EF,T2,T3",1.466684,43.618195,"43.618195,1.466684",2
"43.600967999590594,1.4620885507878338",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-023,TOULOUSE - Av. Camille Pujol,52,Av. Camille Pujol,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*023*1,22,"EF,T2,T3",1.462089,43.60095,"43.60095,1.462089",1
"43.61938099972395,1.4370325363420227",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-024,TOULOUSE - Av. Frédéric Estèbe,21,Av. Frédéric Estèbe,Toulouse,31200,31555,CAHORS,City 2,normal,,FR*M31*E31555*024*1,22,"EF,T2,T3",1.437033,43.619363,"43.619363,1.437033",1
"43.6193630013286,1.4370329973134677",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-024,TOULOUSE - Av. Frédéric Estèbe,21,Av. Frédéric Estèbe,Toulouse,31200,31555,CAHORS,City 2,normal,,FR*M31*E31555*024*2,22,"EF,T2,T3",1.437033,43.619363,"43.619363,1.437033",2
"43.66970499497689,1.4297015370042199",Révéo,Toulouse Metropole,STATION-FR-M31-P31022-001,AUCAMVILLE - Des Ecoles,,Des Ecoles,Aucamville,31140,31022,CAHORS,City 2,normal,,FR*M31*E31022*001*2,22,"EF,T2,T3",1.429702,43.669687,"43.669687,1.429702",2
"43.62381099575043,1.4970835572973962",Révéo,Toulouse Metropole,STATION-FR-M31-P31044-002,BALMA-GRAMONT - Av. Georges Pompidou,,Av. Georges Pompidou,Balma,31130,31044,CAHORS,City 2,normal,,FR*M31*E31044*002*1,22,"EF,T2,T3",1.497084,43.623793,"43.623793,1.497084",1
"43.62378427672262,1.4971056785825863",Révéo,Toulouse Metropole,STATION-FR-M31-P31044-002,BALMA-GRAMONT - Av. Georges Pompidou,,Av. Georges Pompidou,Balma,31130,31044,CAHORS,City 2,normal,,FR*M31*E31044*002*4,22,"EF,T2,T3",1.497084,43.623793,"43.623793,1.497084",4
"43.6933700024652,1.4279009997161058",Révéo,Toulouse Metropole,STATION-FR-M31-P31116-001,CASTELGINEST - Rue De L'Eglise,,Rue De L'Eglise,Castelginest,31780,31116,CAHORS,City 2,normal,,FR*M31*E31116*001*1,22,"EF,T2,T3",1.427901,43.69337,"43.69337,1.427901",1
