Geo Point,Geo Shape,rue,motdir,id_seg_ges,commune,code_insee,codsti,nrivoli,pole,longueur,id_seg_obs,type,arrete,sensunique,doublesens_cyclable
"43.60146458052844,1.4429246695007127","{""coordinates"": [[[1.442228293181882, 43.60141083159772], [1.443621045819543, 43.60151832945916]]], ""type"": ""MultiLineString""}",RUE TEMPONIERES,TEMPONIERES (RUE TEMPONIERES),2,TOULOUSE,31555,3.15557E+11,3105558428,Centre,113,2,Aire Pietonne,11/167,oui,oui
"43.60053640471618,1.4437613533194797","{""coordinates"": [[[1.443784020366132, 43.600370067193396], [1.443738686272828, 43.60070274223896]]], ""type"": ""MultiLineString""}",RUE DES CHANGES,CHANGES (RUE DES CHANGES),4671,TOULOUSE,31555,3.15552E+11,3105551876,Centre,37,4671,Aire Pietonne,11/028,oui,oui
"43.60330753688142,1.4456735436596382","{""coordinates"": [[[1.44566962778378, 43.60313341481589], [1.445677459535496, 43.60348165894693]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4692,TOULOUSE,31555,3.1555E+11,3105550224,Centre,39,4692,Aire Pietonne,13/107,oui,oui
"43.606521232632126,1.4419681908544004","{""coordinates"": [[[1.441643330956623, 43.60621917046021], [1.441779178953975, 43.60636405802142], [1.44189539989044, 43.606515405614324], [1.442133997507186, 43.60666678193207], [1.442351684235406, 43.606737557057016]]], ""type"": ""MultiLineString""}",RUE DE L ESQUILE,ESQUILE (RUE DE L ESQUILE),3261,TOULOUSE,31555,3.15553E+11,3105553080,Centre,83,3261,Aire Pietonne,11/118,oui,oui
"43.59821447747354,1.4344344384764227","{""coordinates"": [[[1.434057049967951, 43.598420566221165], [1.434811826984894, 43.59800838872592]]], ""type"": ""MultiLineString""}",PL OLIVIER,OLIVIER (PL OLIVIER),2738,TOULOUSE,31555,3.15555E+11,3105556372,Centre,76,2738,Aire Pietonne,11/091,,
"43.60246054808829,1.4452265856002167","{""coordinates"": [[[1.444815923697223, 43.60241048524734], [1.44563724750321, 43.60251061092924]]], ""type"": ""MultiLineString""}",RUE DU FOURBASTARD,FOURBASTARD (RUE DU FOURBASTARD),4660,TOULOUSE,31555,3.15553E+11,3105553416,Centre,67,4660,Aire Pietonne,11/108,oui,oui
"43.66221906183828,1.391560589022281","{""coordinates"": [[[1.391341363003778, 43.662165070531636], [1.391779815040784, 43.66227305314492]]], ""type"": ""MultiLineString""}",CHE DE CLOUTOS,CLOUTOS (CHE DE CLOUTOS),12431,BEAUZELLE,31056,3.1056E+11,3100560028,Ouest,37,1243,Aire Pietonne,,,
"43.6553501989639,1.3933100362268185","{""coordinates"": [[[1.393049263682784, 43.65518358662287], [1.393570808770853, 43.655516811304935]]], ""type"": ""MultiLineString""}",CHE DU MOULIN DE NAUDIN,NAUDIN (CHE DU MOULIN DE NAUDIN),20842,BLAGNAC,31069,3.1069E+11,3100690711,Ouest,56,2084,Aire Pietonne,,,
"43.604327211176795,1.4429397950539826","{""coordinates"": [[[1.443052759537325, 43.60382523585213], [1.44282683057064, 43.60482918650146]]], ""type"": ""MultiLineString""}",PL DU CAPITOLE,CAPITOLE (PL DU CAPITOLE),4615,TOULOUSE,31555,3.15551E+11,3105551676,Centre,113,4615,Aire Pietonne,13/106,oui,oui
"43.60388545398901,1.443610411211473","{""coordinates"": [[[1.443922386889348, 43.60391913725216], [1.443298435533597, 43.60385177072585]]], ""type"": ""MultiLineString""}",PL DU CAPITOLE,CAPITOLE (PL DU CAPITOLE),4903,TOULOUSE,31555,3.15551E+11,3105551676,Centre,51,4903,Aire Pietonne,13/106,oui,oui
"43.607118202565545,1.4454529630263808","{""coordinates"": [[[1.44524436364868, 43.60729115329378], [1.445272870571929, 43.60721284727065], [1.4456995472913, 43.60697778148089]]], ""type"": ""MultiLineString""}",RUE DU SALE,SALE (RUE DU SALE),3299,TOULOUSE,31555,3.15556E+11,3105558096,Centre,52,3299,Aire Pietonne,13/110,oui,oui
"43.607879218451984,1.4459725616006867","{""coordinates"": [[[1.445687178363874, 43.60772038885984], [1.4462579448375, 43.608038048044136]]], ""type"": ""MultiLineString""}",RUE DE BAYARD,BAYARD (RUE DE BAYARD),5464,TOULOUSE,31555,3.15551E+11,3105550920,Centre,58,5464,Aire Pietonne,13/111,oui,oui
"43.60406051559411,1.436942984653476","{""coordinates"": [[[1.435864351351921, 43.60366704576124], [1.436194343696088, 43.60388727927628], [1.436375776109968, 43.60394265855853], [1.438070205681513, 43.60433929966885]]], ""type"": ""MultiLineString""}",RUE PARGAMINIERES,PARGAMINIERES (RUE PARGAMINIERES),3129,TOULOUSE,31555,3.15555E+11,3105556540,Centre,195,3129,Aire Pietonne,15/93,oui,oui
"43.60979336293348,1.4398245684255007","{""coordinates"": [[[1.439156066775646, 43.60979950601717], [1.439805750679696, 43.60980464802304], [1.440492542276842, 43.60976561736697]]], ""type"": ""MultiLineString""}",RUE GRAMAT,GRAMAT (RUE GRAMAT),3220,TOULOUSE,31555,3.15553E+11,3105553968,Centre,108,3220,Aire Pietonne,17/196,oui,oui
"43.610131883975086,1.4408054105647194","{""coordinates"": [[[1.440448798410932, 43.61016454197704], [1.441162022718507, 43.61009922597314]]], ""type"": ""MultiLineString""}",RUE SAINT CHARLES,CHARLES (RUE SAINT CHARLES),3222,TOULOUSE,31555,3.15556E+11,3105557728,Centre,58,3222,Aire Pietonne,17/196,oui,oui
"43.610207639376284,1.4391807985431644","{""coordinates"": [[[1.439159214961201, 43.61002376980502], [1.439165012116914, 43.610244252347556], [1.439248954065227, 43.61037738694283]]], ""type"": ""MultiLineString""}",RUE ARNAUD BERNARD,BERNARD (RUE ARNAUD BERNARD),3238,TOULOUSE,31555,3.1555E+11,3105550524,Centre,41,3238,Aire Pietonne,17/196,oui,oui
